body_system,health_concern,herb_name,latin_name,actions,indications,energetics,safety,dose_min_ml,dose_max_ml,dose_unit,ratio
Cardiovascular,Hypertension,Yarrow,Achillea millefolium,Mild hypotensive; Peripheral vasodilator; Diaphoretic,Traditional support for borderline hypertension with peripheral stagnation and tension,Warming; Drying; Moving,Generally safe; avoid high doses in pregnancy; caution with Asteraceae allergy,15,40,mL,1:2
Cardiovascular,Varicose Veins,Yarrow,Achillea millefolium,Mild venous and capillary tonic; Anti-inflammatory,Supports vessel tone and local circulation in chronic venous congestion,Warming; Drying; Moving,Generally safe; avoid high doses in pregnancy; caution with Asteraceae allergy,15,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Yarrow,Achillea millefolium,Haemostatic; Mild bitter; Antispasmodic,"Used for wounds, digestion and menstrual issues",Warming; Drying; Moving,Generally avoided internally in pregnancy because of uterine and haemostatic actions; may be used postpartum short term; low-dose use in breastfeeding may be acceptable under supervision,,,-,
Women's Health,Menorrhagia,Yarrow,Achillea millefolium,Haemostatic; Anti-inflammatory; Mild uterine tonic,"Useful for heavy bleeding with cramping, clotting and pelvic congestion",Warming; Drying; Moving,Generally avoided in pregnancy; suitable for menstruating adults; mild allergy risk in Asteraceae-sensitive individuals,15,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Black Cohosh,Actaea racemosa,Uterine modulator; Spasmolytic; Hormonal support,"Used for gynaecologic complaints and sometimes in labour, not for routine pregnancy use",Cooling; Moving,Generally contraindicated in early and mid pregnancy due to uterine effects; sometimes used near term or in labour only under obstetric supervision; avoid in lactation without specialist advice,,,-,
Women's Health,Amenorrhoea,Black Cohosh,Actaea racemosa,Uterine modulator; Hormonal support; Mild anti-inflammatory,Used for absent or suppressed menstruation associated with hormonal imbalance or pelvic congestion,Cooling; Moving,Generally avoided in pregnancy; suitable for Amenorrhoea in non-pregnant patients; mild GI upset possible,20,40,mL,1:2
Women's Health,Dysmenorrhoea,Black Cohosh,Actaea racemosa,Uterine modulator; Antispasmodic; Mild analgesic,"Indicated for painful menses with pelvic congestion, spasms and hormonal imbalance",Cooling; Moving,Generally safe for non-pregnant individuals; avoid pregnancy; mild GI upset or headache possible,20,40,mL,1:2
Women's Health,Fertility,Black Cohosh,Actaea racemosa,Uterine modulator; Mild estrogen-modulating; Antispasmodic,"Used in some fertility protocols for hormonal imbalance, delayed menstruation and pelvic congestion",Cooling; Moving,Not used during pregnancy; suitable short-term in fertility cycles under supervision; avoid in estrogen-sensitive cancers,20,40,mL,1:2
Women's Health,Menopause,Black Cohosh,Actaea racemosa,Uterine modulator; Estrogen-modulating; Vasomotor symptom relief,"Key herb for hot flushes, mood lability and hormone transition discomfort during menopause",Cooling; Moving,Generally safe for non-pregnant adults; avoid with active liver disease; monitor for mild GI upset or headache,20,40,mL,1:2
Cardiovascular,Capillary fragility,Horse Chestnut,Aesculus hippocastanum,Venous tonic; Anti-oedema; Capillary stabiliser,"Used for venous congestion, varicosities and capillary fragility with heaviness of the legs",Cooling; Drying; Toning,"Internal use requires professional supervision; avoid with kidney failure, pregnancy and known horse-chestnut allergy",15,40,mL,1:2
Cardiovascular,Thrombophlebitis,Horse Chestnut,Aesculus hippocastanum,Venous tonic; Anti-oedema; Capillary stabiliser,"Used to reduce venous congestion, oedema and discomfort around affected veins",Cooling; Drying; Toning,"Internal use requires practitioner supervision; avoid in pregnancy, kidney failure or known allergy",15,40,mL,1:2
Cardiovascular,Varicose Veins,Horse Chestnut,Aesculus hippocastanum,Venous tonic; Anti-oedema; Capillary stabiliser,"Key herb for varicose veins with heaviness, aching and ankle swelling",Cooling; Drying; Toning,"Use under professional supervision; avoid in pregnancy, renal failure or known allergy",15,40,mL,1:2
Skin Condition,Bruising,Horse Chestnut,Aesculus hippocastanum,Venous tonic; Anti-oedema; Capillary stabiliser,"Supports resolution of bruising with swelling, venous congestion or haemorrhoidal tendency",Cooling; Drying; Toning,"Internal use requires supervision; avoid in pregnancy, kidney failure or known allergy",15,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Horse Chestnut,Aesculus hippocastanum,Venous tonic; Anti-oedema,Used for varicose veins and haemorrhoids,Cooling; Drying; Toning,Internal use in pregnancy is controversial and usually avoided; topical use on intact skin may be considered under guidance; avoid in breastfeeding internally due to limited safety data,,,-,
Men's Health,Prostatitis,Buchu,Agathosma betulina,Urinary antiseptic; Mild diuretic,"Indicated for prostatitis with irritative urinary symptoms, frequency and pelvic discomfort",Cooling; Drying; Clearing,Use short term; avoid in pregnancy and severe kidney disease; may irritate very inflamed mucosa,15,30,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Buchu,Agathosma betulina,Urinary antiseptic; Diuretic,"Used for UTIs, not routine pregnancy care",Cooling; Drying; Clearing,Generally avoided in pregnancy and breastfeeding because of limited safety data and possible uterine stimulation,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Albizia,Albizia julibrissin,Anti-allergic; Nervine; Mood support,Occasionally used for anxiety or allergy but not a first-line pregnancy herb,Neutral; Lightly cooling; Calming,Safety data in pregnancy and lactation are limited; generally avoid or use only under specialist supervision for clear benefit,,,-,
Skin Condition,Eczema,Albizia,Albizia julibrissin,Anti-allergic; Anti-inflammatory; Nervine,"Indicated for atopic eczema with stress, emotional triggers or allergic patterns",Cooling; Moistening; Calming,Generally safe; rare GI upset possible,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Lady's Mantle,Alchemilla vulgaris,Astringent; Uterine tonic,Traditionally used around menstruation and postpartum,Neutral; Drying; Toning,Historical use in pregnancy exists but modern safety data are limited; generally reserved for late pregnancy/postpartum under professional supervision; compatible with breastfeeding in modest doses,,,-,
Women's Health,Endometriosis,Lady's Mantle,Alchemilla vulgaris,Astringent; Uterine tonic; Hormonal balancer,"Used for pelvic congestion, spotting and unstable cycles associated with endometriosis",Neutral; Drying; Toning,Generally tolerated; avoid during pregnancy; suitable in menstruating individuals with supervision,20,40,mL,1:2
Women's Health,Fibroids,Lady's Mantle,Alchemilla vulgaris,Astringent; Uterine tonic; Haemostatic,"Indicated for fibroids with heavy bleeding, spotting and pelvic laxity or dragging sensations",Neutral; Drying; Toning,Generally well tolerated in non-pregnant adults; avoid during pregnancy unless specifically supervised; monitor in patients with clotting disorders,20,40,mL,1:2
Women's Health,Menopause,Lady's Mantle,Alchemilla vulgaris,Astringent; Uterine tonic; Cycle support,"Used in perimenopause for irregular bleeding, spotting or pelvic laxity",Neutral; Drying; Toning,Generally safe; avoid pregnancy; suitable for adult menopausal use,20,40,mL,1:2
Women's Health,Menorrhagia,Lady's Mantle,Alchemilla vulgaris,Astringent; Uterine tonic; Haemostatic,"Classic herb for heavy menstrual bleeding, clotting and pelvic laxity",Neutral; Drying; Toning,Generally safe for non-pregnant adults; avoid pregnancy unless supervised; monitor if clotting disorders present,20,40,mL,1:2
Cardiovascular,Circulation / Raynaud's Syndrome,Garlic,Allium sativum,Antiplatelet; Mild hypotensive; Lipid-modulating; Circulatory tonic,"Supports peripheral circulation and reduces blood viscosity and platelet aggregation, helpful in Raynaud-type patterns",Cooling; Drying; Penetrating,Use cautiously with anticoagulants or before surgery; may irritate sensitive digestion,30,100,mL,1:2
Cardiovascular,Heart Failure,Garlic,Allium sativum,Antiplatelet; Mild hypotensive; Cardiometabolic support,Adjunctive support in chronic heart failure to assist circulation and cardiometabolic health,Cooling; Drying; Penetrating,Use cautiously with anticoagulant drugs and in GI sensitivity,30,100,mL,1:2
Cardiovascular,Hypercholesterolaemia,Garlic,Allium sativum,Hypolipidaemic; Antiplatelet; Mild hypotensive,Helps reduce elevated lipids and support vascular health as part of cardiovascular risk-reduction strategies,Cooling; Drying; Penetrating,Use cautiously with anticoagulant/antiplatelet drugs,30,100,mL,1:2
Cardiovascular,Hypertension,Garlic,Allium sativum,Mild hypotensive; Antiplatelet; Hypolipidaemic,"Adjunct in hypertension to support vascular tone, blood viscosity and lipid profile",Cooling; Drying; Penetrating,Use cautiously with anticoagulant or antiplatelet drugs,30,100,mL,1:2
Skin Condition,Fungal Infections,Garlic,Allium sativum,Antifungal; Antimicrobial; Immune-stimulant,Key herb for fungal infections including systemic candida; supports immune function and gut flora balance,Cooling; Drying; Penetrating,Caution with anticoagulants and in GI sensitivity,30,100,mL,1:2
Digestion & Liver,Constipation,Marshmallow,Althaea officinalis,Demulcent; Soothing; Mild bulk laxative,"Indicated for constipation with dryness, irritation or hard stools; helps soften and lubricate the bowel and reduce discomfort",Cooling; Moistening; Softening,Very safe; take with adequate water; may theoretically reduce absorption of concurrent oral medicines if taken at the same time,20,50,mL,1:5
Skin Condition,Boils,Marshmallow,Althaea officinalis,Demulcent; Soothing; Mild anti-inflammatory,"Indicated when boils present with surrounding heat, irritation or dryness; protects tissues and reduces discomfort",Cooling; Moistening; Softening,Very safe; may reduce absorption of oral drugs if taken at same time,20,50,mL,1:5
Pregnancy & Lactation,Pregnancy & Lactation,Marshmallow Root,Althaea officinalis radix,Demulcent; Soothing; Mildly laxative,"Used for reflux, gastritis and mucosal irritation",Cooling; Moistening; Softening,Considered low-risk and compatible with pregnancy and lactation; separate dosing from oral medications as it may affect absorption,,,-,
Pregnancy & Lactation,Pregnancy & Lactation,Marshmallow Root,Althaea officinalis radix,Demulcent; Soothing,Low-alcohol preparation for sensitive patients and pregnancy/children,Cooling; Moistening,As for root generally; suitable form when avoiding alcohol in pregnancy and breastfeeding,,,-,
Men's Health,Prostatitis,Andrographis,Andrographis paniculata,Immune stimulant; Antimicrobial; Anti-inflammatory,"Indicated for acute and chronic prostatitis, particularly when infectious or post-infectious; supports systemic and local immune response",Bitter; Cooling; Drying,Use short term in high doses; may cause GI upset or headache; avoid in pregnancy and in those with history of autoimmune flare when stimulated,20,40,mL,1:2
Skin Condition,Acne,Andrographis,Andrographis paniculata,Anti-inflammatory; Immune-modulating; Antimicrobial,"Indicated for acne with inflammatory, pustular or infectious components; helps reduce systemic and skin inflammation",Bitter; Cooling; Drying,Use short term at higher doses; may cause GI upset or headache; avoid in pregnancy and autoimmune flares,20,40,mL,1:2
Skin Condition,Boils,Andrographis,Andrographis paniculata,Antimicrobial; Immune-stimulant; Anti-inflammatory,"Indicated for recurrent boils, infected lesions and systemic bacterial load; supports immune clearance and reduces inflammation",Bitter; Cooling; Drying,Use short term in high doses; may cause GI upset or headache; avoid in pregnancy and autoimmune flares,20,40,mL,1:2
Skin Condition,Fungal Infections,Andrographis,Andrographis paniculata,Antimicrobial; Antifungal; Immune-stimulant,Indicated for systemic or recurrent fungal infections; supports immune clearance and reduces inflammation,Bitter; Cooling; Drying,Use short term at high doses; may cause GI upset or headache; avoid in pregnancy and autoimmune flares,20,40,mL,1:2
Pregnancy & Lactation,Pregnancy & Lactation,Andrographis,Andrographis paniculata,Immune-stimulant; Antimicrobial; Anti-inflammatory,"Used for acute infection, not for routine pregnancy support",Bitter; Cooling; Drying,Contraindicated in pregnancy due to lack of safety data and possible antifertility effects; avoid in lactation unless specialist deems benefit outweighs risk,,,-,
Digestion & Liver,Bloating,Angelica,Angelica archangelica,Carminative; Warming digestive tonic; Antispasmodic; Aromatic bitter; Circulatory stimulant to the gut,"Useful for gas, bloating, sluggish digestion and cold digestive patterns; helps relieve intestinal tension and cramping; stimulates weak digestion and improves motility in bloating associated with poor appetite",Warming; Drying; Moves cold stagnation; Stimulating to digestion,Generally safe; avoid high doses in pregnancy due to uterine stimulating potential; use caution with reflux as warming aromatics may aggravate symptoms,,,mL,
Digestion & Liver,Colic (Infants),Angelica,Angelica archangelica,Gentle carminative; Warming digestive tonic; Antispasmodic; Aromatic bitter,"Supports relief of infant colic with gas, abdominal distension and cold, sluggish digestion when used in very small, age-appropriate doses under practitioner supervision",Warming; Drying; Moves cold digestive stagnation,Use only in infants under qualified practitioner guidance with appropriate paediatric dose adjustment; avoid high doses; avoid in pregnancy for the mother,5,25,mL,1:2
Digestion & Liver,Dyspepsia,Angelica,Angelica archangelica,Aromatic bitter; Carminative; Antispasmodic; Warming digestive tonic,"Used for dyspepsia with bloating, early fullness and cold, sluggish digestion; stimulates appetite and digestive secretions",Warming; Drying; Moves cold stagnation,Generally safe; avoid high doses in pregnancy; caution in reflux where strong bitters aggravate symptoms,5,25,mL,1:2
Cardiovascular,Angina,Dong Quai,Angelica sinensis,Blood tonic; Mild vasodilator; Antispasmodic; Circulatory support,Supports blood quality and peripheral circulation; sometimes used in mixed patterns where pelvic and systemic blood stagnation coexist with angina-like symptoms,Warming; Moistening; Moving,Contraindicated in pregnancy (especially first trimester) and in active bleeding; use cautiously with anticoagulant therapy,25,45,mL,1:2
Cardiovascular,Circulation / Raynaud's Syndrome,Dong Quai,Angelica sinensis,Blood tonic; Vasodilator; Warming circulatory support,"Indicated where cold, blood deficiency and stagnation underlie Raynaud-type symptoms",Warming; Moistening; Moving,Contraindicated in pregnancy and active bleeding; caution with anticoagulants,25,45,mL,1:2
Cardiovascular,Palpitations,Dong Quai,Angelica sinensis,Blood tonic; Mild vasodilator; Nervine,"Applied when palpitations coincide with blood deficiency, fatigue and hormonal fluctuations",Warming; Moistening; Moving,Contraindicated in pregnancy and active bleeding; caution with anticoagulants,25,45,mL,1:2
